psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1a,pial1b,pial1c,pial1d,pial1e,pial2a,pial2b,pial2c,pial2d,pial2e,pial3,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
100001,1,110112,36047,36,1,5,U,3,2,2,2,2,2,2,4,4,4,3,2,2,1, ,4,2,1,2,18,3,1,6,99,3,3,2, ,11220,1,2,9.7,2.48815761097086
100004,1,110112,18097,18,2,5,U,4,2,2,2,2,2,4,4,4,4,4,2,2,1, ,2,3,1,2,30,3,2,1,3,3,4,9, ,46203,1,2,9.7,2.48815761097086
100005,1,110112,36103,36,1,4,S,1,9,9,9,9,9,4,4,9,9,9,2,1, , ,2,3,2,1,99,7,2,1,99,1,9,9, ,11740,2,2,4,1.02604437565809
100006,1,110112,36007,36,1,2,U,1,2,2,2,2,2,1,4,4,4,4,2,1, , ,1,3,2,2,72,3,2,1,4,1,2, , ,13904,2,2,1.45,.371941086176056
100007,1,110112,54105,54,3,1,R,3,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,1,2,31,3,2,1,3,3,3,9, ,26138,2,2,2,.513022187829043
100011,1,110112,36011,36,1,2,R,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,58,3,2,1,4,1,3,1, ,13160,2,2,2.4,.615626625394852
100013,1,110112,21111,21,3,4,U,1,1,2,1,2,1,4,4,2,4,3,1,2,2, ,2,3,2,2,75,3,2,1,3,1,1, , ,40222,1,1,5.65,1.44928768061705
100014,1,110112,48113,48,3,5,S,1,2,2,2,2,2,4,4,2,4,2,2,1, , ,1,2,2,2,60,5,2,1,99,1,3,2, ,75052,2,2,1.45,.371941086176056
100015,1,110112,29043,29,2,2,S,1,1,2,2,2,2,4,4,4,4,4,2,1, , ,2,1,1,1,29,6,2,1,6,1,1, , ,65714,2,2,2.25,.577149961307674
100018,1,110112,42101,42,1,5,U,4,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,82,4,2,1,3,2,2, , ,19130,2,2,1.15,.2949877580017
100022,1,110112,1089,1,3,3,S,3,2,2,2,2,2,2,4,3,4,3,2,1, , ,2,1,1,2,35,8,2,1,7,3,4,2, ,35810,2,2,3.5,.897788828700826
100023,1,110112,40143,40,3,4,S,1,1,2,2,2,2,3,4,4,4,4,2,1, , ,3,1,1,2,48,6,2,1,6,1,2, , ,74033,2,2,4,1.02604437565809
100026,1,110112,19155,19,2,1,U,1,1,2,2,2,2,4,4,4,4,4,2,2,1, ,2,3,2,1,67,4,2,1,6,1,1, , ,51503,1,2,3.85,.987567711570908
100030,1,110112,39165,39,2,3,S,1,1,2,2,2,2,2,2,2,2,3,2,1, , ,2,1,2,1,47,4,2,1,6,1,3,1, ,45005,2,2,4.1,1.05169548504954
100038,1,110212,9001,9,1,4,U,1,1,1,2,2,2,2,2,4,4,4,2,1, , ,2,2,2,2,81,4,2,1,4,1,1, ,2,06811,2,2,3,.769533281743565
100039,1,110112,37081,37,3,3,U,1,2,2,2,2,2,4,4,4,4,4,2,2,1, ,2,3,2,2,64,5,2,1,4,1,3,2, ,27265,1,2,6.1,1.56471767287858
100040,1,110112,39035,39,2,5,U,1,1,1,2,2,2,1,1,4,4,4,2,1, , ,2,1,1,1,53,6,2,2,9,1,3,2, ,44120,2,2,2.05,.525847742524769
100043,1,110112,22103,22,3,2,S,1,1,1,1,2,2,4,4,4,4,4,2,1, , ,1,3,2,1,65,8,2,1,6,1,1, , ,70460,2,2,1.05,.269336648610248
100046,1,110112,36059,36,1,5,S,1,2,1,2,2,2,1,1,4,4,4,2,1, , ,2,1,2,1,65,5,2,2,7,1,2, , ,11553,2,2,2.9,.743882172352113
100049,1,110112,5115,5,3,1,R,1,1,2,1,2,1,3,3,2,4,2,1,1, , ,1,3,2,2,62,4,2,1,1,1,1, , ,72823,2,2,1.1,.282162203305974
100050,1,110112,26091,26,2,2,R,1,1,2,2,2,2,3,3,4,4,4,2,1, , ,2,2,2,2,62,4,2,1,4,1,3,9, ,49286,2,2,2.5,.641277734786304
100054,1,110112,39061,39,2,4,S,1,1,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,80,3,2,1,5,1,1, , ,45215,2,2,1.5,.384766640871783
100059,1,110112,48113,48,3,5,S,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,2,2,99,8,2,1,99,1,9,9, ,75043,2,2,2.45,.628452180090578
