"","age","sex","educ2","outcome","educ"
"1",75,2,3,"E","1"
"2",29,1,6,"A","2"
"3",48,2,6,"A","2"
"4",67,1,4,"A","2"
"5",47,1,4,"A","2"
"6",81,2,4,"B","2"
"7",53,1,6,"B","2"
"8",65,1,8,"C","3"
"9",65,1,5,"B","2"
"10",62,2,4,"E","2"
"11",62,2,4,"A","2"
"12",80,2,3,"A","1"
"13",54,1,6,"A","2"
"14",81,1,4,"A","2"
"15",61,2,4,"B","2"
"16",70,2,6,"A","2"
"17",74,1,8,"C","3"
"18",18,2,4,"E","2"
"19",68,1,3,"E","1"
"20",63,2,5,"B","2"
"21",48,1,5,"E","2"
"22",84,1,6,"A","2"
"23",77,2,5,"A","2"
"24",61,2,4,"E","2"
"25",76,2,3,"A","1"
"26",78,1,3,"A","1"
"27",76,2,4,"B","2"
"28",76,2,8,"C","3"
"29",61,2,3,"A","1"
"30",57,2,8,"A","3"
"31",60,2,3,"E","1"
"32",63,2,5,"A","2"
"33",67,1,8,"C","3"
"34",41,2,5,"A","2"
"35",67,2,3,"B","1"
"36",75,1,4,"A","2"
"37",51,1,6,"A","2"
"38",26,1,4,"B","2"
"39",36,1,8,"B","3"
"40",84,2,4,"E","2"
"41",49,1,8,"D","3"
"42",34,2,8,"E","3"
"43",57,1,3,"A","1"
"44",51,2,4,"A","2"
"45",42,1,8,"E","3"
"46",87,1,8,"A","3"
"47",57,1,4,"A","2"
"48",82,2,8,"B","3"
"49",81,1,3,"B","1"
"50",74,1,5,"E","2"
"51",46,1,6,"E","2"
"52",77,2,4,"A","2"
"53",46,2,8,"E","3"
"54",58,2,6,"C","2"
"55",57,2,8,"A","3"
"56",51,1,5,"A","2"
"57",65,2,3,"A","1"
"58",69,1,4,"A","2"
"59",99,2,1,"A","1"
"60",87,2,3,"A","1"
"61",31,2,6,"E","2"
"62",28,1,4,"B","2"
"63",24,2,3,"E","1"
"64",18,1,2,"A","1"
"65",99,2,5,"E","2"
"66",58,2,5,"E","2"
"67",51,1,3,"A","1"
"68",65,1,3,"B","1"
"69",59,1,8,"B","3"
"70",60,2,2,"A","1"
"71",19,2,3,"E","1"
"72",42,1,3,"E","1"
"73",49,2,3,"E","1"
"74",71,1,3,"B","1"
"75",71,1,6,"B","2"
"76",47,2,3,"A","1"
"77",53,1,6,"D","2"
"78",66,2,8,"B","3"
"79",72,2,4,"A","2"
"80",70,1,6,"C","2"
"81",56,1,8,"E","3"
"82",90,1,2,"A","1"
"83",99,2,6,"C","2"
"84",40,1,8,"A","3"
"85",38,1,8,"E","3"
"86",53,2,5,"C","2"
"87",45,1,4,"D","2"
"88",38,1,3,"D","1"
"89",31,2,4,"E","2"
"90",99,1,6,"D","2"
"91",32,1,4,"A","2"
"92",63,2,3,"D","1"
"93",51,2,5,"E","2"
"94",66,2,3,"B","1"
"95",51,2,6,"E","2"
"96",47,2,6,"A","2"
"97",25,1,7,"B","3"
"98",87,2,2,"B","1"
"99",66,2,4,"E","2"
"100",45,2,3,"A","1"
"101",46,2,4,"B","2"
"102",23,2,4,"A","2"
"103",67,2,3,"A","1"
"104",82,2,6,"A","2"
"105",64,2,8,"C","3"
"106",68,1,8,"A","3"
"107",42,2,8,"A","3"
"108",56,2,4,"E","2"
"109",51,2,4,"C","2"
"110",87,2,3,"A","1"
"111",44,2,3,"C","1"
"112",78,2,5,"A","2"
"113",36,2,4,"E","2"
"114",24,2,4,"B","2"
"115",54,2,3,"A","1"
"116",40,1,6,"A","2"
"117",58,2,8,"C","3"
"118",48,2,5,"B","2"
"119",99,1,4,"C","2"
"120",62,1,6,"C","2"
"121",63,2,6,"C","2"
"122",69,2,2,"B","1"
"123",50,1,5,"E","2"
"124",40,2,3,"E","1"
"125",54,2,6,"A","2"
"126",62,1,6,"B","2"
"127",66,2,8,"B","3"
"128",62,1,3,"A","1"
"129",72,2,3,"E","1"
"130",57,2,8,"E","3"
"131",36,1,6,"A","2"
"132",20,1,4,"A","2"
"133",49,2,5,"E","2"
"134",71,2,3,"C","1"
"135",45,1,5,"A","2"
"136",54,2,3,"A","1"
"137",80,2,3,"B","1"
"138",58,1,4,"A","2"
"139",72,2,8,"A","3"
"140",57,1,8,"E","3"
"141",74,2,3,"E","1"
"142",72,2,5,"E","2"
"143",70,2,5,"C","2"
"144",54,1,3,"E","1"
"145",63,2,3,"A","1"
"146",99,1,3,"B","1"
"147",75,1,8,"A","3"
"148",82,1,3,"A","1"
"149",99,1,4,"C","2"
"150",62,2,4,"B","2"
"151",44,2,7,"E","3"
"152",75,2,4,"A","2"
"153",72,2,6,"B","2"
"154",66,2,3,"B","1"
