"","age","sex","educ","outcome"
"1",75,2,"1","E"
"2",29,1,"2","A"
"3",48,2,"2","A"
"4",67,1,"2","A"
"5",47,1,"2","A"
"6",81,2,"2","B"
"7",53,1,"2","B"
"8",65,1,"3","C"
"9",65,1,"2","B"
"10",62,2,"2","E"
"11",62,2,"2","A"
"12",80,2,"1","A"
"13",54,1,"2","A"
"14",81,1,"2","A"
"15",61,2,"2","B"
"16",70,2,"2","A"
"17",74,1,"3","C"
"18",18,2,"2","E"
"19",68,1,"1","E"
"20",63,2,"2","B"
"21",48,1,"2","E"
"22",84,1,"2","A"
"23",77,2,"2","A"
"24",61,2,"2","E"
"25",76,2,"1","A"
"26",78,1,"1","A"
"27",76,2,"2","B"
"28",76,2,"3","C"
"29",61,2,"1","A"
"30",57,2,"3","A"
"31",60,2,"1","E"
"32",63,2,"2","A"
"33",67,1,"3","C"
"34",41,2,"2","A"
"35",67,2,"1","B"
"36",75,1,"2","A"
"37",51,1,"2","A"
"38",26,1,"2","B"
"39",36,1,"3","B"
"40",84,2,"2","E"
"41",49,1,"3","D"
"42",34,2,"3","E"
"43",57,1,"1","A"
"44",51,2,"2","A"
"45",42,1,"3","E"
"46",87,1,"3","A"
"47",57,1,"2","A"
"48",82,2,"3","B"
"49",81,1,"1","B"
"50",74,1,"2","E"
"51",46,1,"2","E"
"52",77,2,"2","A"
"53",46,2,"3","E"
"54",58,2,"2","C"
"55",57,2,"3","A"
"56",51,1,"2","A"
"57",65,2,"1","A"
"58",69,1,"2","A"
"59",99,2,"1","A"
"60",87,2,"1","A"
"61",31,2,"2","E"
"62",28,1,"2","B"
"63",24,2,"1","E"
"64",18,1,"1","A"
"65",99,2,"2","E"
"66",58,2,"2","E"
"67",51,1,"1","A"
"68",65,1,"1","B"
"69",59,1,"3","B"
"70",60,2,"1","A"
"71",19,2,"1","E"
"72",42,1,"1","E"
"73",49,2,"1","E"
"74",71,1,"1","B"
"75",71,1,"2","B"
"76",47,2,"1","A"
"77",53,1,"2","D"
"78",66,2,"3","B"
"79",72,2,"2","A"
"80",70,1,"2","C"
"81",56,1,"3","E"
"82",90,1,"1","A"
"83",99,2,"2","C"
"84",40,1,"3","A"
"85",38,1,"3","E"
"86",53,2,"2","C"
"87",45,1,"2","D"
"88",38,1,"1","D"
"89",31,2,"2","E"
"90",99,1,"2","D"
"91",32,1,"2","A"
"92",63,2,"1","D"
"93",51,2,"2","E"
"94",66,2,"1","B"
"95",51,2,"2","E"
"96",47,2,"2","A"
"97",25,1,"3","B"
"98",87,2,"1","B"
"99",66,2,"2","E"
"100",45,2,"1","A"
